English,Vietnamese
Rice,Gạo
Glutinous rice,Gạo nếp
Broken rice,Tấm
Rice flour,Bột gạo
Glutinous rice flour,Bột nếp
Tapioca starch,Bột năng
Wheat flour,Bột mì
Corn,Bắp
Corn flour,Bột bắp
Cassava,Khoai mì
Sweet potato,Khoai lang
Taro,Khoai môn
Yam,Khoai từ
Vermicelli,Bún
Rice noodles,Phở
Thick rice noodles,Bánh canh
Glass noodles,Miến
Egg noodles,Mì trứng
Rice paper,Bánh tráng
Water spinach,Rau muống
Mustard greens,Cải xanh
Bok choy,Cải thìa
Napa cabbage,Cải thảo
Lettuce,Xà lách
Spinach,Rau bina
Amaranth greens,Rau dền
Pumpkin,Bí đỏ
Winter melon,Bí đao
Chayote,Su su
Cucumber,Dưa leo
Tomato,Cà chua
Eggplant,Cà tím
Bitter melon,Khổ qua
Okra,Đậu bắp
Green beans,Đậu que
Long bean,Đậu đũa
Banana flower,Bắp chuối
Bamboo shoots,Măng
Lotus root,Ngó sen
Water mimosa,Rau nhút
Cilantro,Rau mùi
Culantro,Ngò gai
Thai basil,Húng quế
Spearmint,Húng lủi
Vietnamese balm,Kinh giới
Perilla,Tía tô
Fish mint,Diếp cá
Lemongrass,Sả
Galangal,Riềng
Ginger,Gừng
Turmeric,Nghệ
Kaffir lime leaves,Lá chanh
Chili,Ớt
Garlic,Tỏi
Shallot,Hành tím
Onion,Hành tây
Spring onion,Hành lá
Fish sauce,Nước mắm
Shrimp paste,Mắm tôm
Fermented fish,Mắm cá
Salt,Muối
Sugar,Đường
Palm sugar,Đường thốt nốt
MSG,Bột ngọt
Soy sauce,Nước tương
Black pepper,Tiêu
White pepper,Tiêu trắng
Five-spice powder,Ngũ vị hương
Annatto seeds,Hạt điều màu
Fermented soybean,Tương
Fermented rice,Cơm mẻ
Fish,Cá
Catfish,Cá tra
Snakehead fish,Cá lóc
Mackerel,Cá thu
Anchovy,Cá cơm
Shrimp,Tôm
Crab,Cua
Squid,Mực
Octopus,Bạch tuộc
Clam,Nghêu
Cockle,Sò huyết
Mussel,Vẹm
Oyster,Hàu
Sea snail,Ốc
Dried shrimp,Tôm khô
Dried squid,Mực khô
Pork,Thịt heo
Beef,Thịt bò
Chicken,Thịt gà
Duck,Thịt vịt
Goat,Thịt dê
Frog,Thịt ếch
Quail,Chim cút
Pork belly,Ba rọi
Pork ribs,Sườn
Minced pork,Thịt băm
Egg,Trứng
Duck egg,Trứng vịt
Salted egg,Trứng muối
Century egg,Trứng bắc thảo
Soybean,Đậu nành
Mung bean,Đậu xanh
Black bean,Đậu đen
Red bean,Đậu đỏ
Peanut,Đậu phộng
Sesame,Mè
Coconut,Dừa
Coconut milk,Nước cốt dừa
Banana,Chuối
Green mango,Xoài xanh
Jackfruit,Mít
Papaya,Đu đủ
Tamarind,Me
Star fruit,Khế
Fermented shrimp paste,Mắm ruốc
Anchovy fish sauce,Mắm cá cơm
Fermented anchovy,Mắm nêm
Pickled mustard greens,Dưa cải
Pickled scallion,Củ kiệu
Pickled vegetables,Dưa chua
Roasted rice powder,Thính
Caramel sauce (Vietnamese),Nước màu
Tamarind paste,Me vắt
Dried chili flakes,Ớt bột
Chili paste,Sa tế
Curry powder,Bột cà ri
Paprika,Bột ớt paprika
Cinnamon,Quế
Star anise,Hoa hồi
Cloves,Đinh hương
Cardamom,Thảo quả
Coriander seeds,Hạt mùi
Cumin,Thì là Ai Cập
Dill,Thì là
Vietnamese coriander,Rau răm
Betel leaf,Lá lốt
Wild pepper leaf,Lá mắc mật
Sawtooth herb,Ngò tàu
Pandan leaf,Lá dứa
Banana leaf,Lá chuối
Young banana,Banana xanh
Green papaya,Đu đủ xanh
Pomelo flower,Hoa bưởi
Lotus seeds,Hạt sen
Dried lotus seeds,Hạt sen khô
Water chestnut,Củ mã thầy
Arrowroot powder,Bột sắn dây
Sticky rice wine,Rượu nếp
Cooking wine,Rượu nấu ăn
Rice vinegar,Giấm gạo
Apple cider vinegar,Giấm táo
Lime,Chanh
Calamansi,Tắc
Pomelo,Bưởi
Pineapple,Thơm (dứa)
Durian,Sầu riêng
Rambutan,Chôm chôm
Longan,Nhãn
Lychee,Vải
Fish cake,Chả cá
Pork sausage,Giò lụa
Fermented pork roll,Nem chua
Vietnamese ham,Giò chả
Blood pudding,Tiết canh
Pork skin,Bì heo
Chicken feet,Chân gà
Duck blood,Tiết vịt
Snails (freshwater),Ốc bươu
Field crab,Cua đồng
River prawn,Tôm càng
Small crab,Còng
Seaweed (Vietnamese),Rong biển
Edible algae,Rau câu
Tofu,Đậu hũ
Fried tofu,Đậu hũ chiên
Fermented tofu,Chao
Soy milk,Sữa đậu nành
Coconut oil,Dầu dừa
Peanut oil,Dầu đậu phộng
Cooking oil,Dầu ăn
Lard,Mỡ heo
Fermented shrimp,Mắm tép
Fermented mudfish,Mắm cá linh
Fermented snakehead fish,Mắm cá lóc
Fermented gourami fish,Mắm cá sặc
Fermented crab paste,Mắm cua
Salted fish,Cá khô
Dried snakehead fish,Cá lóc khô
Dried mackerel,Cá thu khô
Dried anchovy,Cá cơm khô
Sun-dried shrimp,Tôm khô phơi nắng
Sun-dried squid,Mực một nắng
Shrimp floss,Ruốc tôm
Pork floss,Ruốc thịt
Fish floss,Ruốc cá
Roasted peanuts,Đậu phộng rang
Roasted sesame,Rang mè
Candied ginger,Mứt gừng
Candied coconut,Mứt dừa
Candied lotus seed,Mứt hạt sen
Palm fruit,Trái thốt nốt
Sugarcane,Mía
Sugarcane juice,Nước mía
Molasses,Mật mía
Rock sugar,Đường phèn
Brown sugar,Đường nâu
Fermented rice wine,Rượu gạo
Rice yeast,Men rượu
Rice malt,Mạch nha
Fermented sticky rice,Cơm rượu
Pickled eggplant,Cà pháo muối
Pickled shallot,Hành muối
Pickled garlic,Tỏi ngâm
Pickled chili,Ớt ngâm
Pickled bamboo shoots,Măng chua
Fermented bamboo shoots,Măng ủ
Fresh turmeric root,Củ nghệ tươi
Fresh galangal root,Củ riềng
Fresh ginger root,Củ gừng
Young lemongrass stalk,Sả non
Coriander root,Rễ ngò
Chive,Hẹ
Garlic chives,Hẹ tỏi
Young mustard greens,Cải non
Watercress,Xà lách xoong
Malabar spinach,Mồng tơi
Sweet leaf bush,Rau ngót
Rice paddy herb,Rau ngổ
Water dropwort,Rau cần nước
Celery,Cần tây
Kohlrabi,Su hào
White radish,Củ cải trắng
Carrot,Cà rốt
Beetroot,Củ dền
Lotus stem,Ngó sen
Young jackfruit,Mít non
Young coconut,Dừa non
Coconut meat,Cơm dừa
Coconut water,Nước dừa
